"OriginalLocationID","LocationID","Datetime","CHEMICAL OXYGEN DEMAND DATA"
"HB01","HAB0015","5/13/80","69"
"HB01","HAB0015","10/28/80","44"
"HB01","HAB0015","2/26/81","71"
"HB01","HAB0015","7/29/81","38"
"HB02","HB02","6/27/79","57"
"HB02","HB02","8/6/79","25"
"HB02","HB02","12/12/79","58"
"HB02","HB02","5/13/80","130"
"HB02","HB02","10/28/80","34"
"HB02","HB02","2/26/81","80"
"HB02","HB02","7/29/81","22"
"AJT02","SWBB","12/12/79","34"
"AJT02","SWBB","5/13/80","98"
"AJT02","SWBB","10/28/80","351"
"AJT02","SWBB","2/26/81","73"
"AJT02","SWBB","7/29/81","34"
"AJT03","HOB103","10/28/80","49"
"AJT03","HOB103","2/26/81","45"
"AJT04","SHBTRIB","10/28/80","54"
"AJT04","SHBTRIB","2/26/81","45"
"AJT04","SHBTRIB","7/29/81","20"
"AJT05","CUBLEX","10/28/80","137"
"AJT05","CUBLEX","2/26/81","55"
"AJT05","CUBLEX","7/29/81","20"
"HBT01","HBT01","6/27/79","52"
"HBT01","HBT01","12/12/79","77"
"HBT01","HBT01","5/13/80","22"
"HBT01","HBT01","10/28/80","49"
"HBT01","HBT01","2/26/81","35"
"HBT01","HBT01","7/29/81","33"
"HBT02","HBT02","6/27/79","128"
"HBT02","HBT02","12/12/79","174"
"HBT02","HBT02","5/13/80","39"
"HBT02","HBT02","10/28/80","137"
"HBT02","HBT02","2/26/81","115"
"HBT02","HBT02","7/29/81","235"
"HBT03","HBT03","5/13/80","195"
"HBT03","HBT03","10/28/80","103"
"HBT03","HBT03","2/26/81","93"
"HBT05","HBT05","6/27/79","4.8"
"HBT05","HBT05","12/12/79","121"
"HBT05","HBT05","5/13/80","65"
"HBT05","HBT05","10/28/80","93"
"HBT05","HBT05","2/26/81","53"
"HBT05","HBT05","7/29/81","98"
"HBT06","HBT06","6/27/79","3.6"
"HBT06","HBT06","12/12/79","97"
"HBT06","HBT06","5/13/80","39"
"HBT06","HBT06","10/28/80","98"
"HBT06","HBT06","2/26/81","62"
"HBT06","HBT06","7/29/81","55"
"HBT07","HBT07","5/13/80","30"
"HBT07","HBT07","10/28/80","49"
"HBT07","HBT07","2/26/81","31"
"HBT08","HBT08","6/27/79","4.2"
"HBT08","HBT08","12/12/79","121"
"HBT08","HBT08","5/13/80","117"
"HBT08","HBT08","10/28/80","58"
"HBT08","HBT08","2/26/81","26"
"HBT08","HBT08","7/29/81","60"
