"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT","COD","BOD5","PH","ALK","TSS","TS","TKN","NH3","NO3","TP","TCOLI","FCOLI","CHLORIDE","HARDNESS","SULFATE DATA","ARSENIC DATA","BARIUM DATA","CADMIUM","CHROMIUM","COPPER","IRON","LEAD","MANGANESE","MERCURY DATA","NICKEL","SELENIUM DATA","SILVER DATA","SODIUM DATA","VANADIUM DATA","ZINC"
"AJ10","ABR006","1980-05-13","1980-05-13 13:45:00","64","8","84","43","3.6","7.4","42","7.5","244","2.7","0.46","5.2","0.1","20,000","1,800","57","","33","0.004","0.04","<.01","<.01","<.01","0.65","0.04","0.1","0.0001","<.001","<.001","<.01","35","<.01","0.04"
"AJ10","ABR006","1980-10-28","1980-10-28 10:05:00","44","6.9","56","59","3.9","6.7","38","4","238","5.5","3.9","1.1","0.13","31,000","4,100","","","","0.003","0.02","","<.01","<.01","1","<.01","","< 0.0001","<.001","<.001","<.001","","<.01","0.1"
"AJ10","ABR006","1981-02-26","1981-02-26 10:15:00","36","11.8","86","55","4.5","7.3","34","17","262","4.2","3.5","1.2","0.14","15,000","3,400","81","","59","","","","","","","","","","","","","","",""
"AJ10","ABR006","1981-07-29","1981-07-29 10:35:00","70","5.4","60","39","6.9","7.7","41","8.5","290","2.9","0.08","3","0.08","9,800","2,200","56","75","","","0.03","<.01","","0.01","1","<.01","","","","","","37","","0.03"
"AJ11","ABR001","1979-06-27","1979-06-27 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ11","ABR001","1979-08-06","1979-08-06 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ11","ABR001","1979-12-12","1979-12-12 13:50:00","48","7.3","63","58","2.7","7.9","53","4","280","6.6","4.4","1.6","0.04","400","50","","","","","","","","","","","","","","","","","",""
"AJ11","ABR001","1980-05-13","1980-05-13 13:50:00","","","","26","1.8","7.7","39","6","250","2.7","2.7","1.3","0.08","700","70","59","","36","0.004","0.05","<.01","<.01","<.01","0.4","0.03","0.07","0.0007","<.001","<.001","<.01","35","<.01","0.04"
"AJ11","ABR001","1980-10-28","1980-10-28 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ11","ABR001","1981-02-26","1981-02-26 10:10:00","39","12","90","41","3.9","6.4","36","15","256","4.4","4.1","1","0.14","13,000","2,900","81","","59","<.001","<.004","<.01","<.01","<.01","1.8","0.05","","","","","","150","","0.17"
"AJ11","ABR001","1981-07-29","1981-07-29 10:30:00","70","4.9","55","34","7.2","7.2","42","11.5","310","2","0.08","2.6","0.08","7,800","1,200","65","95","","","0.03","0.01","","0.01","0.88","<.01","","","","","","44","","0.03"
"MY10","UPL001","1979-06-27","1979-06-27 10:00:00","71","8.5","97","3.9","","7.8","41","7","218","3.1","1.6","1.2","0.02","100","20","72","","","","","","","","","","","","","","","","",""
"MY10","UPL001","1979-08-06","1979-08-06 15:08:00","83","8.8","115","","5.7","8.3","43","6.5","292","1.5","0.56","1.2","0.19","100","10","78","","","","","","","","","","","","","","","","",""
"MY10","UPL001","1979-12-12","1979-12-12 14:05:00","47","10.8","92","48","1.8","7","40","1.5","220","2.9","2.4","1.6","0.01","70","5","","","","","","","","","","","","","","","","","",""
"MY10","UPL001","1980-05-13","1980-05-13 14:10:00","63","9.9","103","26","2.4","7.8","35","8.5","312","4.7","2.6","1.3","0.34","600","40","61","","34","0.002","0.04","<.01","<.01","<.01","0.18","<.01","0.18","0.0002","<.001","<.001","<.01","36","<.01","0.04"
